,O/C,MW,H,DBE-O,NOSC,S/C,O,C,H/C,DBE,AImod,N/C,P/C
O/C,1.0,-0.007930918034594838,-0.36356678149987826,-0.6707375113937007,0.737623591001362,0.025846887417082572,0.6545016927296479,-0.43702019680555554,0.0009513572259109092,-0.19178591372807163,-0.316276274520925,0.17668130873191118,-0.23976495981249546
MW,-0.007930918034594838,1.0,0.5591503091540527,-0.006870440220834217,-0.07177671387410901,-0.006973056047074336,0.6705905226329245,0.8534629531907301,-0.11802959172340106,0.5620288145175941,0.01726289672507473,-0.1817338469521711,0.3199918082295109
H,-0.36356678149987826,0.5591503091540527,1.0,-0.25567198928221885,-0.6965861054128486,-0.07794268931347999,0.13713728502203712,0.6956520176020602,0.5890360815983217,-0.1685465878223959,-0.1356920996408992,-0.37062498062439453,0.11556900204004045
DBE-O,-0.6707375113937007,-0.006870440220834217,-0.25567198928221885,1.0,-0.10836307759076395,-0.01055416052365107,-0.5092734871318436,0.2705692100828593,-0.6362806739731091,0.682257459703065,0.44774443615555476,0.12805586604278182,0.33421137367882287
NOSC,0.737623591001362,-0.07177671387410901,-0.6965861054128486,-0.10836307759076395,1.0,-0.0012644846898446221,0.4191066427802931,-0.43432869482325415,-0.49816367230073627,0.23523064930379006,-0.06499957446095436,0.5989685209796289,-0.26345158828914095
S/C,0.025846887417082572,-0.006973056047074336,-0.07794268931347999,-0.01055416052365107,-0.0012644846898446221,1.0,-0.13222369204488107,-0.14092372984251067,0.10369308348535364,-0.12409522567923599,-0.21061267696912925,-0.11464575793770591,0.15843115138178904
O,0.6545016927296479,0.6705905226329245,0.13713728502203712,-0.5092734871318436,0.4191066427802931,-0.13222369204488107,1.0,0.3269894968885714,-0.1292214704271491,0.2817428169413072,-0.12100540363258795,-0.11648396890404664,-0.0972297633664901
C,-0.43702019680555554,0.8534629531907301,0.6956520176020602,0.2705692100828593,-0.43432869482325415,-0.14092372984251067,0.3269894968885714,1.0,-0.12211367992120903,0.5794464801738985,0.19887846743840076,-0.37831408263102134,0.27077921079717543
H/C,0.0009513572259109092,-0.11802959172340106,0.5890360815983217,-0.6362806739731091,-0.49816367230073627,0.10369308348535364,-0.1292214704271491,-0.12211367992120903,1.0,-0.8191684935463133,-0.48025977571470924,-0.1095077965696467,-0.10259420949550846
DBE,-0.19178591372807163,0.5620288145175941,-0.1685465878223959,0.682257459703065,0.23523064930379006,-0.12409522567923599,0.2817428169413072,0.5794464801738985,-0.8191684935463133,1.0,0.39639311009256667,0.04381278488285953,0.2900130569965712
AImod,-0.316276274520925,0.01726289672507473,-0.1356920996408992,0.44774443615555476,-0.06499957446095436,-0.21061267696912925,-0.12100540363258795,0.19887846743840076,-0.48025977571470924,0.39639311009256667,1.0,-0.1476662594414825,0.07154401980785952
N/C,0.17668130873191118,-0.1817338469521711,-0.37062498062439453,0.12805586604278182,0.5989685209796289,-0.11464575793770591,-0.11648396890404664,-0.37831408263102134,-0.1095077965696467,0.04381278488285953,-0.1476662594414825,1.0,-0.07215774898750472
P/C,-0.23976495981249546,0.3199918082295109,0.11556900204004045,0.33421137367882287,-0.26345158828914095,0.15843115138178904,-0.0972297633664901,0.27077921079717543,-0.10259420949550846,0.2900130569965712,0.07154401980785952,-0.07215774898750472,1.0
