,O/C,MW,H,DBE-O,NOSC,S/C,O,S,C,H/C,DBE,AImod,N,DBE/C,N/C,P/C,P
O/C,1.0,-0.007930918034594838,-0.36356678149987826,-0.6707375113937007,0.737623591001362,0.025846887417082572,0.6545016927296479,-0.07641919699570883,-0.43702019680555554,0.0009513572259109092,-0.19178591372807163,-0.316276274520925,0.08585492357064398,0.0828972305131988,0.17668130873191118,-0.23976495981249546,-0.2463613381950289
MW,-0.007930918034594838,1.0,0.5591503091540527,-0.006870440220834217,-0.07177671387410901,-0.006973056047074336,0.6705905226329245,0.1418789311101287,0.8534629531907301,-0.11802959172340106,0.5620288145175941,0.01726289672507473,0.023610677399692775,-0.017284050367201396,-0.1817338469521711,0.3199918082295109,0.3412453336387554
H,-0.36356678149987826,0.5591503091540527,1.0,-0.25567198928221885,-0.6965861054128486,-0.07794268931347999,0.13713728502203712,0.016606626008288026,0.6956520176020602,0.5890360815983217,-0.1685465878223959,-0.1356920996408992,-0.24706785715712878,-0.7147360115854642,-0.37062498062439453,0.11556900204004045,0.12160910041205764
DBE-O,-0.6707375113937007,-0.006870440220834217,-0.25567198928221885,1.0,-0.10836307759076395,-0.01055416052365107,-0.5092734871318436,0.09805315204860754,0.2705692100828593,-0.6362806739731091,0.682257459703065,0.44774443615555476,0.20716655090311703,0.6162269712015446,0.12805586604278182,0.33421137367882287,0.3575223460979152
NOSC,0.737623591001362,-0.07177671387410901,-0.6965861054128486,-0.10836307759076395,1.0,-0.0012644846898446221,0.4191066427802931,-0.08134925835675069,-0.43432869482325415,-0.49816367230073627,0.23523064930379006,-0.06499957446095436,0.5237360811323539,0.6573029303856338,0.5989685209796289,-0.26345158828914095,-0.2621854700042719
S/C,0.025846887417082572,-0.006973056047074336,-0.07794268931347999,-0.01055416052365107,-0.0012644846898446221,1.0,-0.13222369204488107,0.9318025133281691,-0.14092372984251067,0.10369308348535364,-0.12409522567923599,-0.21061267696912925,-0.15507786215152933,-0.09577900548742581,-0.11464575793770591,0.15843115138178904,0.15989429592743828
O,0.6545016927296479,0.6705905226329245,0.13713728502203712,-0.5092734871318436,0.4191066427802931,-0.13222369204488107,1.0,-0.11912978858469343,0.3269894968885714,-0.1292214704271491,0.2817428169413072,-0.12100540363258795,-0.0287204914656382,0.04085971003086568,-0.11648396890404664,-0.0972297633664901,-0.09254959532804181
S,-0.07641919699570883,0.1418789311101287,0.016606626008288026,0.09805315204860754,-0.08134925835675069,0.9318025133281691,-0.11912978858469343,1.0,0.02833541248814486,0.04524042443588302,0.008114987696187285,-0.13833731400512422,-0.15735125879230083,-0.06570996304921463,-0.15335747969322738,0.2888992852716321,0.29857200681971385
C,-0.43702019680555554,0.8534629531907301,0.6956520176020602,0.2705692100828593,-0.43432869482325415,-0.14092372984251067,0.3269894968885714,0.02833541248814486,1.0,-0.12211367992120903,0.5794464801738985,0.19887846743840076,-0.16850858172535013,-0.08427008657181391,-0.37831408263102134,0.27077921079717543,0.29851739755932966
H/C,0.0009513572259109092,-0.11802959172340106,0.5890360815983217,-0.6362806739731091,-0.49816367230073627,0.10369308348535364,-0.1292214704271491,0.04524042443588302,-0.12211367992120903,1.0,-0.8191684935463133,-0.48025977571470924,-0.16121202154047265,-0.942753568990434,-0.1095077965696467,-0.10259420949550846,-0.11626829366103379
DBE,-0.19178591372807163,0.5620288145175941,-0.1685465878223959,0.682257459703065,0.23523064930379006,-0.12409522567923599,0.2817428169413072,0.008114987696187285,0.5794464801738985,-0.8191684935463133,1.0,0.39639311009256667,0.20657140491218523,0.7217443611090435,0.04381278488285953,0.2900130569965712,0.3199784637556878
AImod,-0.316276274520925,0.01726289672507473,-0.1356920996408992,0.44774443615555476,-0.06499957446095436,-0.21061267696912925,-0.12100540363258795,-0.13833731400512422,0.19887846743840076,-0.48025977571470924,0.39639311009256667,1.0,-0.08778973247027302,0.3827675695591101,-0.1476662594414825,0.07154401980785952,0.07795166273508691
N,0.08585492357064398,0.023610677399692775,-0.24706785715712878,0.20716655090311703,0.5237360811323539,-0.15507786215152933,-0.0287204914656382,-0.15735125879230083,-0.16850858172535013,-0.16121202154047265,0.20657140491218523,-0.08778973247027302,1.0,0.4183762044320954,0.9316384352148152,-0.010240449686599939,-0.016189281839483816
DBE/C,0.0828972305131988,-0.017284050367201396,-0.7147360115854642,0.6162269712015446,0.6573029303856338,-0.09577900548742581,0.04085971003086568,-0.06570996304921463,-0.08427008657181391,-0.942753568990434,0.7217443611090435,0.3827675695591101,0.4183762044320954,1.0,0.41513555003723585,0.10626164460685238,0.11497489798499357
N/C,0.17668130873191118,-0.1817338469521711,-0.37062498062439453,0.12805586604278182,0.5989685209796289,-0.11464575793770591,-0.11648396890404664,-0.15335747969322738,-0.37831408263102134,-0.1095077965696467,0.04381278488285953,-0.1476662594414825,0.9316384352148152,0.41513555003723585,1.0,-0.07215774898750472,-0.07873425076420672
P/C,-0.23976495981249546,0.3199918082295109,0.11556900204004045,0.33421137367882287,-0.26345158828914095,0.15843115138178904,-0.0972297633664901,0.2888992852716321,0.27077921079717543,-0.10259420949550846,0.2900130569965712,0.07154401980785952,-0.010240449686599939,0.10626164460685238,-0.07215774898750472,1.0,0.9896581380788001
P,-0.2463613381950289,0.3412453336387554,0.12160910041205764,0.3575223460979152,-0.2621854700042719,0.15989429592743828,-0.09254959532804181,0.29857200681971385,0.29851739755932966,-0.11626829366103379,0.3199784637556878,0.07795166273508691,-0.016189281839483816,0.11497489798499357,-0.07873425076420672,0.9896581380788001,1.0
