fold,feature,status
1,O/C,retained
1,MW,retained
1,H,retained
1,DBE-O,retained
1,NOSC,retained
1,S/C,retained
1,O,retained
1,S,removed
1,C,retained
1,H/C,retained
1,DBE,retained
1,AImod,retained
1,N,removed
1,DBE/C,removed
1,N/C,retained
1,P/C,retained
1,P,removed
2,O/C,retained
2,MW,retained
2,H,retained
2,DBE-O,retained
2,NOSC,retained
2,S/C,retained
2,O,retained
2,S,removed
2,C,retained
2,H/C,retained
2,DBE,retained
2,AImod,retained
2,N,removed
2,DBE/C,removed
2,N/C,retained
2,P/C,retained
2,P,removed
3,O/C,retained
3,MW,retained
3,H,retained
3,DBE-O,retained
3,NOSC,retained
3,S/C,retained
3,O,retained
3,S,removed
3,C,retained
3,H/C,retained
3,DBE,retained
3,AImod,retained
3,N,removed
3,DBE/C,removed
3,N/C,retained
3,P/C,retained
3,P,removed
4,O/C,retained
4,MW,retained
4,H,retained
4,DBE-O,retained
4,NOSC,retained
4,S/C,retained
4,O,retained
4,S,removed
4,C,retained
4,H/C,retained
4,DBE,retained
4,AImod,retained
4,N,removed
4,DBE/C,removed
4,N/C,retained
4,P/C,retained
4,P,removed
5,O/C,retained
5,MW,retained
5,H,retained
5,DBE-O,retained
5,NOSC,retained
5,S/C,retained
5,O,retained
5,S,removed
5,C,retained
5,H/C,retained
5,DBE,retained
5,AImod,retained
5,N,removed
5,DBE/C,removed
5,N/C,retained
5,P/C,retained
5,P,removed
