params,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,mean_test_macro_f1,std_test_macro_f1,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_balanced_accuracy,std_test_balanced_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_train_macro_f1,std_train_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,rank_test_macro_f1
"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",,sqrt,2,300,0.7192306175749115,0.017505675459309533,0.7255043575348868,0.7150137128682544,0.7384454799638442,0.6876227901737183,0.7295667473338542,0.7198194099328016,0.01732750890695617,0.7262375879287984,0.7143532644252805,0.7390215733723223,0.6890261083880862,0.7304585155495203,0.9701120192443835,0.002066580343580361,0.9736579206489268,0.9675556073684793,0.9693525661983197,0.9690909420062516,0.9709030599999399,0.9705063598878745,0.00202398068891036,0.974055668953706,0.9679769110001359,0.9698495701761658,0.9696214400451876,0.9710282092641771,1
"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",20.0,sqrt,2,300,0.718166407781217,0.017432725068282844,0.729319115447432,0.7132557870269652,0.7345488546049556,0.6862788753653838,0.7274294064613481,0.7188718363424103,0.017075013909514394,0.7301678602735527,0.7124806052492505,0.7351039244212414,0.6882725701687873,0.7283342215992192,0.9692569314394447,0.002144058888725865,0.9722840128511866,0.9656155355553487,0.9693525661983197,0.9690589440589106,0.9699735985334582,0.9696250787489487,0.0021322260580113137,0.9726368748983732,0.9659702846676669,0.9698495701761658,0.969546639681294,0.9701220243212427,2
"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",20.0,sqrt,1,600,0.7176762368063292,0.018325293756415784,0.7238090891826919,0.701479600681167,0.7415901620763913,0.6918918179080782,0.7296105141833173,0.7182130293446385,0.018407837589790782,0.7246180300608339,0.7003829971979649,0.7420031950697727,0.6934174548524065,0.7306434695422146,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3
"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",,0.5,2,600,0.7170317305774095,0.01319815519665901,0.7176854372287959,0.7110072180858525,0.7274566095572577,0.6956263401276188,0.7333830478875232,0.7177675337469147,0.013195051364263516,0.7180646307686461,0.710090954276157,0.728839918780891,0.6974533770146052,0.7343887878942744,0.9794720446985892,0.0009518603253820763,0.9811328205046039,0.9788759186286563,0.9784654207147927,0.9789948842533542,0.9798911793915385,0.9796297882274667,0.0009166103182038279,0.9813087902794319,0.9791793539183874,0.9786520223318345,0.9791949874897358,0.9798137871179438,4
"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",,sqrt,1,600,0.7169048999836917,0.01624759333707659,0.7238285222492876,0.7013637262863573,0.7340419533822833,0.6939303518466767,0.7313599461538535,0.7174398180403305,0.016283944348505455,0.7246180300608339,0.7003829971979649,0.7342861703787283,0.6955807178385752,0.7323311747255502,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5
"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",,sqrt,2,600,0.7166970992601278,0.018818732780046747,0.7272466392000657,0.7055229716520038,0.7343507080641908,0.6849670129696589,0.7313981644147196,0.717330956082936,0.018754778772926115,0.7281102471048285,0.7044729767480672,0.7349315938222202,0.6866905148028962,0.7324494479366678,0.9711503571532907,0.002139556128365609,0.9750081178632272,0.9690074621259889,0.9717549890427178,0.9695671871090207,0.9704140296254992,0.9714919516076774,0.0021071685003363387,0.9752684538457416,0.9693512607370778,0.9721747605748551,0.9700148044753014,0.9706504784054116,6
"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",,0.5,2,300,0.7164350116782696,0.015025896715271837,0.7235846768727372,0.7066809101280921,0.7239541678314078,0.6925999448580095,0.7353553587011016,0.7171569658547715,0.015153624690165143,0.7241799747600742,0.7058286441270337,0.7250946004288311,0.6941169356838017,0.7365646742741164,0.9778789132652724,0.0010668896047834092,0.9792841372790377,0.9784565718816772,0.9760799501056215,0.9780416509018147,0.9775322561582104,0.9781133195708656,0.0010124937539369762,0.9794656994061812,0.9788161341333542,0.9765512330248264,0.9782140021829077,0.9775195291070585,7
"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",20.0,sqrt,2,600,0.7159471419079397,0.016628690972133486,0.7219093133071629,0.7093270640796171,0.7323461064102528,0.6867414610367838,0.7294117647058824,0.716548575720718,0.016463913164847757,0.7227471865326379,0.7082723524880304,0.732886604047169,0.6884449007678084,0.7303918347679437,0.9711575355955008,0.0018033369225549014,0.974089040317637,0.9690074621259889,0.9717442294520775,0.9695344598401184,0.971412486241682,0.9715004523858906,0.0017718565402489405,0.974361692560506,0.9693512607370778,0.9721446159297744,0.9699400041114078,0.9717046885906869,8
"{'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",20.0,0.5,2,600,0.7143775741363483,0.013484403604447918,0.7195583459954321,0.7072925916080554,0.7235747663990763,0.6917452176419591,0.7297169490372184,0.7150750416074979,0.013458107467568212,0.7198098314667263,0.7063456359240972,0.7249222698298099,0.693535728063524,0.7307617427533323,0.9788148790954139,0.0012121184309451495,0.9806562589514769,0.978387983703985,0.9770095898818928,0.9785424125334473,0.9794781504062674,0.978968825903368,0.0011344690659754618,0.9807671892065551,0.9786665334055669,0.9772776725948926,0.9787268226957281,0.9794059116140975,9
"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",,sqrt,1,300,0.7141447769728504,0.015404513539663963,0.7172348664249771,0.7017268928220256,0.7325362315077185,0.6916766413782612,0.7275492527312691,0.7149028096815399,0.015385901060740554,0.7183177320767115,0.7007918742192215,0.7332312652452114,0.6936540012746418,0.7285191755919135,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10
