feature,precursors,products,resistant,overall
NOSC,0.12661535961208883,0.06657185142762694,0.08658999051828259,0.09325906718599945
N/C,0.06757699629271972,0.06367709240928154,0.043487659149961964,0.05824724928398775
O/C,0.04414333042470737,0.04615669266639785,0.0479558940768764,0.046085305722660536
H,0.0283619678776747,0.04026676664723957,0.03417675766966214,0.034268497398192134
AImod,0.028436588055308566,0.0203541301523238,0.03118501449696926,0.02665857756820054
C,0.01703644027601478,0.028168063474100766,0.0320310737743927,0.025745192508169413
H/C,0.015325901551197367,0.022164632126325436,0.016920262021533846,0.018136931899685547
DBE-O,0.016841577906647944,0.01641735054071629,0.0185368189857921,0.017265249144385444
MW,0.012825318654864443,0.015001281818619438,0.023163586899593094,0.016996729124358994
O,0.011344475796188264,0.014410108208647262,0.02014429620708957,0.015299626737308364
S/C,0.014004838223998842,0.016955517241054506,0.01490053165077489,0.015286962371942747
DBE,0.009013517122375003,0.011380963148313035,0.012559952626301829,0.010984810965663288
P/C,0.002744070586540895,0.0025117417286406197,0.0010533192127264788,0.002103043842635998
